# tracer: nop
#
# entries-in-buffer/entries-written: 6122/6122   #P:32
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
    crosvm_vcpu0-96568   [010] ..... 16655.956377: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.956411: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.956445: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.956582: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.956868: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.956903: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.956937: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.956971: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.957005: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.957039: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.957073: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.957107: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.957142: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.957176: pkvmdma_host_sev_mmio_read: (kvm_sev_es_mmio_read+0x0/0xe0) addr=4273995792 size=4
    crosvm_vcpu0-96568   [010] ..... 16655.957210: pkvmdma_host_sev_mmio_write: (kvm_sev_es_mmio_write+0x0/0x190) addr=4273995776 size=4
